,Date,Number of NaNs
1198,2004-05-21,110
1199,2004-05-22,140
1200,2004-05-23,40
1201,2004-05-24,0
1202,2004-05-25,0
1203,2004-05-26,36
1204,2004-05-27,108
1205,2004-05-28,130
1206,2004-05-29,14
1207,2004-05-30,0
1208,2004-05-31,139
1209,2004-06-01,140
1210,2004-06-02,99
1211,2004-06-03,134
1212,2004-06-04,111
1213,2004-06-05,127
1214,2004-06-06,59
1215,2004-06-07,16
1216,2004-06-08,0
1217,2004-06-09,5
1218,2004-06-10,6
1219,2004-06-11,80
1220,2004-06-12,132
1221,2004-06-13,89
1222,2004-06-14,122
1223,2004-06-15,49
1224,2004-06-16,140
1225,2004-06-17,2
1226,2004-06-18,78
1227,2004-06-19,129
1228,2004-06-20,140
1229,2004-06-21,130
1230,2004-06-22,134
1231,2004-06-23,140
1232,2004-06-24,15
1233,2004-06-25,84
1234,2004-06-26,4
1235,2004-06-27,9
1236,2004-06-28,55
1237,2004-06-29,40
1238,2004-06-30,11
1239,2004-07-01,118
1240,2004-07-02,117
1241,2004-07-03,10
1242,2004-07-04,69
1243,2004-07-05,47
